Carpeta	Nom_Imatge
d_obligatoria	022_0003.png
d_obligatoria	022_1_0003.png
d_obligatoria	024_0038.png
d_obligatoria	024_1_0038.png
limit	004_0047.png
limit	004_1_0047.png
no_senyal	019.png
no_senyal	22911.jpg
no_senyal	22943.jpg
no_senyal	23148.jpg
no_senyal	23150.jpg
no_senyal	23181.jpg
no_senyal	23207.jpg
no_senyal	23215.jpg
no_senyal	23362.jpg
no_senyal	23377.jpg
no_senyal	23639.jpg
no_senyal	23641.jpg
no_senyal	23947.jpg
no_senyal	23948.jpg
no_senyal	24077.jpg
no_senyal	24082.jpg
no_senyal	photo-1635306054653-9c059b7b5a80.jpg
no_senyal	photo-1635345825088-98068082ca5e.jpg
no_senyal	photo-1635355435138-16c1fa22ad9f.jpg
no_senyal	photo-1635512845522-9ac2bf78efae.jpg
no_senyal	photo-1635586668235-6e1457115785.jpg
no_senyal	photo-1635756837851-d3b6edbaa11c.jpg
no_senyal	photo-1635831505716-fa6861a8e8c3.jpg
no_senyal	photo-1635880624075-8d8815783c1c.jpg
no_senyal	photo-1635949604307-42b5c2b5bdde.jpg
no_senyal	photo-1636126176840-c61d03604424.jpg
vianant	035_0001.png
vianant	035_1_0001.png
